Категория;Секция;Подкатегория;Услуга;Описание;HTML_Opis;Цена;Срок выполнения;Примечания;Ссылка
Serwis Komputerów Stacjonarnych;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Odzyskanie danych (usuniętych plików) po skasowaniu ze sprawnego nośnika (dokumenty, zdjęcia lub filmy, przez przypadkowe ich usunięcie, sformatowanie dysku lub przywrócenie systemu Windows);Diagnostyka, naprawa i modernizacja jednostek centralnych.;<p>Odzyskanie danych (usuniętych plików) po skasowaniu ze sprawnego nośnika (dokumenty, zdjęcia lub filmy, przez przypadkowe ich usunięcie, sformatowanie dysku lub przywrócenie systemu Windows)</p><br><p>Diagnostyka, naprawa i modernizacja jednostek centralnych.</p>;120-200;1-5 dni;;
Serwis Komputerów Stacjonarnych;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Odzyskiwanie danych (uszkodzenia logiczne – nośnik (np. dysk twardy) zachował sprawność);Diagnostyka, naprawa i modernizacja jednostek centralnych.;<p>Odzyskiwanie danych (uszkodzenia logiczne – nośnik (np. dysk twardy) zachował sprawność)</p><br><p>Diagnostyka, naprawa i modernizacja jednostek centralnych.</p>;180-260;1-5 dni;;
Serwis Komputerów Stacjonarnych;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Odzyskanie danych z uszkodzonego nośnika (fizycznie lub elektronicznie uszkodzonych dysków HDD i SSD);Diagnostyka, naprawa i modernizacja jednostek centralnych.;<p>Odzyskanie danych z uszkodzonego nośnika (fizycznie lub elektronicznie uszkodzonych dysków HDD i SSD)</p><br><p>Diagnostyka, naprawa i modernizacja jednostek centralnych.</p>;od 500;5-15 dni;;
Serwis Komputerów Stacjonarnych;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Trwałe usuwanie danych;Diagnostyka, naprawa i modernizacja jednostek centralnych.;<p>Trwałe usuwanie danych</p><br><p>Diagnostyka, naprawa i modernizacja jednostek centralnych.</p>;50;1-2 dni;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy warto naprawiać, czy lepiej kupić nowe?;Czy warto naprawiać, czy lepiej kupić nowe?;To zależy od usterki i dostępności części. Zawsze wykonujemy bezpłatną diagnozę wstępną i informujemy, czy naprawa jest opłacalna. Jeżeli naprawa się nie opłaca – powiemy to otwarcie.;<p>To zależy od usterki i dostępności części. Zawsze wykonujemy bezpłatną diagnozę wstępną i informujemy, czy naprawa jest opłacalna. Jeżeli naprawa się nie opłaca – powiemy to otwarcie.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Jak wygląda proces naprawy?;Jak wygląda proces naprawy?;Najpierw przeprowadzamy szybką diagnostykę, przygotowujemy wycenę, a po jej akceptacji przystępujemy do naprawy. W razie potrzeby zamawiamy niezbędne części i informujemy o czasie realizacji.;<p>Najpierw przeprowadzamy szybką diagnostykę, przygotowujemy wycenę, a po jej akceptacji przystępujemy do naprawy. W razie potrzeby zamawiamy niezbędne części i informujemy o czasie realizacji.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Ile trwa naprawa?;Ile trwa naprawa?;"Typowo 1–3 dni robocze. Gdy trzeba zamówić części lub usterka jest złożona (np. płyta główna), czas może być dłuższy; na bieżąco informujemy o statusie.";"<p>Typowo 1–3 dni robocze. Gdy trzeba zamówić części lub usterka jest złożona (np. płyta główna), czas może być dłuższy; na bieżąco informujemy o statusie.</p>";;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy oferujecie dojazd do Klienta? Czy mogę samodzielnie dostarczyć urządzenie do naprawy?;Czy oferujecie dojazd do Klienta? Czy mogę samodzielnie dostarczyć urządzenie do naprawy?;Tak, świadczymy usługi serwisowe we Wrocławiu i okolicach.  Dojazd serwisanta i diagnoza są GRATIS, jeśli Klient akceptuje zaproponowany koszt naprawy. W przypadku prostych usterek możemy naprawić urządzenie na miejscu, a jeśli zajdzie taka potrzeba – zabierzemy je do naszego serwisu.  W przypadku rezygnacji z naprawy koszt wizyty wynosi 50 zł brutto (czas + dojazd serwisanta).  Oczywiście mogą Państwo również samodzielnie dostarczyć urządzenie do naszej siedziby we Wrocławiu. Na miejscu zapewniamy kompleksową, szybką i bezpłatną diagnostykę w obecności Klienta, miłe przywitanie oraz darmową kawę lub herbatę.;<p>Tak, świadczymy usługi serwisowe we Wrocławiu i okolicach.</p><br><p>Dojazd serwisanta i diagnoza są GRATIS, jeśli Klient akceptuje zaproponowany koszt naprawy. W przypadku prostych usterek możemy naprawić urządzenie na miejscu, a jeśli zajdzie taka potrzeba – zabierzemy je do naszego serwisu.</p><br><p>W przypadku rezygnacji z naprawy koszt wizyty wynosi 50 zł brutto (czas + dojazd serwisanta).</p><br><p>Oczywiście mogą Państwo również samodzielnie dostarczyć urządzenie do naszej siedziby we Wrocławiu. Na miejscu zapewniamy kompleksową, szybką i bezpłatną diagnostykę w obecności Klienta, miłe przywitanie oraz darmową kawę lub herbatę.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy mogę dostarczyć urządzenie kurierem?;Czy mogę dostarczyć urządzenie kurierem?;Tak. Otrzymasz od nas instrukcję bezpiecznego pakowania.  Po naprawie odeślemy urządzenie do Ciebie.;<p>Tak. Otrzymasz od nas instrukcję bezpiecznego pakowania.</p><br><p>Po naprawie odeślemy urządzenie do Ciebie.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy naprawa wpływa na gwarancję producenta?;Czy naprawa wpływa na gwarancję producenta?;Jeżeli naprawa wymaga działań naruszających warunki gwarancji — poinformujemy Cię o tym przed jej wykonaniem.;<p>Jeżeli naprawa wymaga działań naruszających warunki gwarancji — poinformujemy Cię o tym przed jej wykonaniem.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy udzielacie gwarancji na naprawy?;Czy udzielacie gwarancji na naprawy?;Tak. **3–12 miesięcy**, w zależności od rodzaju naprawy i wymienionych części.;<p>Tak. <strong>3–12 miesięcy</strong>, w zależności od rodzaju naprawy i wymienionych części.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy naprawiacie komputery / drukarki wszystkich marek?;Czy naprawiacie komputery / drukarki wszystkich marek?;Tak. Naprawiamy m.in. HP, Dell, Lenovo, ASUS, Acer, MSI, Apple i inne.;<p>Tak. Naprawiamy m.in. HP, Dell, Lenovo, ASUS, Acer, MSI, Apple i inne.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy oferujecie drukarkę zastępczą na czas naprawy?;Czy oferujecie drukarkę zastępczą na czas naprawy?;Tak. W razie potrzeby zapewniamy drukarkę zastępczą — bez przestoju w pracy.;<p>Tak. W razie potrzeby zapewniamy drukarkę zastępczą — bez przestoju w pracy.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy utracę dane?;Czy utracę dane?;Nie — w naprawach systemowych i mechanicznych chronimy dane. Przy operacjach ryzykownych (np. wymiana dysku, reinstalacja po awarii) proponujemy backup lub odzysk danych przed pracami.;<p>Nie — w naprawach systemowych i mechanicznych chronimy dane. Przy operacjach ryzykownych (np. wymiana dysku, reinstalacja po awarii) proponujemy backup lub odzysk danych przed pracami.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy odzyskacie dane po awarii?;Czy odzyskacie dane po awarii?;Tak — od prostych przypadków (logiczne uszkodzenia) po bardziej złożone (nośnik uszkodzony). Zawsze informujemy o szansach i kosztach przed startem prac.;<p>Tak — od prostych przypadków (logiczne uszkodzenia) po bardziej złożone (nośnik uszkodzony). Zawsze informujemy o szansach i kosztach przed startem prac.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);Czy naprawiacie po zalaniu?;Czy naprawiacie po zalaniu?;Tak. Wykonujemy mycie płyty w myjce ultradźwiękowej, usuwamy korozję, wymieniamy uszkodzone elementy. Czas i koszt zależą od skali, im szybciej sprzęt trafi do serwisu, tym większa szansa powodzenia.;<p>Tak. Wykonujemy mycie płyty w myjce ultradźwiękowej, usuwamy korozję, wymieniamy uszkodzone elementy. Czas i koszt zależą od skali, im szybciej sprzęt trafi do serwisu, tym większa szansa powodzenia.</p>;;;;
Serwis Komputerów Stacjonarnych;Najczęściej zadawane pytania (FAQ);To ceny brutto czy netto?;To ceny brutto czy netto?;Wszystkie podane ceny są **brutto (z VAT)**.;<p>Wszystkie podane ceny są <strong>brutto (z VAT)</strong>.</p>;;;;
Outsourcing IT;Diagnoza i wycena;;Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wstępna diagnoza i wycena online (Opis problemu przez WhatsApp/stronę internetową/telefon - pomożemy ustalić, czy naprawa się opłaca)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;GRATIS;15 min;GRATIS;
Outsourcing IT;Diagnoza i wycena;;Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy);Pełna obsługa informatyczna dla Twojej firmy.;<p>Diagnoza i wycena naprawy (przy dostawie do serwisu) (również w razie rezygnacji z naprawy)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;GRATIS;24 h;GRATIS;
Outsourcing IT;Diagnoza i wycena;;Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela);Pełna obsługa informatyczna dla Twojej firmy.;<p>Diagnoza i wycena w formie pisemnej (bez naprawy, np. dla ubezpieczyciela)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;50 / 70 / 90;1-3 dni;GRATIS;
Outsourcing IT;Diagnoza i wycena;;Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika);Pełna obsługa informatyczna dla Twojej firmy.;<p>Usługi w trybie ekspresowym (do 24 godzin, stawka z cennika)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;+ 100% do ceny;24 h;GRATIS;
Outsourcing IT;Dojazd;;Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza);Pełna obsługa informatyczna dla Twojej firmy.;<p>Dojazd (przy zleceniu naprawy) (Wrocław do 10 km, w tym diagnoza)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;GRATIS;1-3 dni;GRATIS;
Outsourcing IT;Dojazd;;Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min);Pełna obsługa informatyczna dla Twojej firmy.;<p>Dojazd (przy rezygnacji z naprawy) (Wrocław do 10 km, diagnoza + naprawy do 15 min)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;50 / 80 / 100;1-3 dni;GRATIS;
Outsourcing IT;Dojazd;;Dojazd (powyżej 10 km) (liczony w obie strony);Pełna obsługa informatyczna dla Twojej firmy.;<p>Dojazd (powyżej 10 km) (liczony w obie strony)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;1,5 zł/km;1-3 dni;GRATIS;
Outsourcing IT;Dojazd;;Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony);Pełna obsługa informatyczna dla Twojej firmy.;<p>Dostarczenie naprawionego urządzenia (Wrocław do 10 km, obie strony)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;1,5 zł/km;1-3 dni;GRATIS;
Outsourcing IT;Dojazd;;Usługi w trybie ekspresowym (do 24 godzin);Pełna obsługa informatyczna dla Twojej firmy.;<p>Usługi w trybie ekspresowym (do 24 godzin)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;+ 100% do ceny;24 h;GRATIS;
Outsourcing IT;Czyszczenie i konserwacja (bez naprawy);;PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne drukarki, czyszczenie i konserwacja karetek, sprawdzenie głowicy, czyszczenie rolek pobierania papieru, kontrola elementów mechanicznych, test jakości wydruku);Pełna obsługa informatyczna dla Twojej firmy.;<p>PODSTAWOWY do 30 min. (przegląd i profilaktyka, zmniejsza ryzyko awarii i stresu) (czyszczenie zewnętrzne i wewnętrzne drukarki, czyszczenie i konserwacja karetek, sprawdzenie głowicy, czyszczenie rolek pobierania papieru, kontrola elementów mechanicznych, test jakości wydruku)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;50 / 100 / 150;1-3 dni;;
Outsourcing IT;Czyszczenie i konserwacja (bez naprawy);;STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Czyszczenie czujników papieru, Czyszczenie stacji serwisowej);Pełna obsługa informatyczna dla Twojej firmy.;<p>STANDARD do 1 godziny (standardowa konserwacja) (Zakres PODSTAWOWY + Czyszczenie czujników papieru, Czyszczenie stacji serwisowej)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;100 / 150 / 200;1-3 dni;;
Outsourcing IT;Czyszczenie i konserwacja (bez naprawy);;PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Udrożnienie układu tuszu, Czyszczenie pompy/pochłaniacza tuszu, reset liczników serwisowych);Pełna obsługa informatyczna dla Twojej firmy.;<p>PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Udrożnienie układu tuszu, Czyszczenie pompy/pochłaniacza tuszu, reset liczników serwisowych)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;150 / 200 / 250;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;"Czyszczenie lub wymiana rolki pobierającej / separatora (Usuwa zaciągnięcia, ""chwyta kilka kartek"")";Pełna obsługa informatyczna dla Twojej firmy.;"<p>Czyszczenie lub wymiana rolki pobierającej / separatora (Usuwa zaciągnięcia, ""chwyta kilka kartek"")</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>";80 / 120 / 160;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;"Czyszczenie czujników papieru (Usuwa fałszywe komunikaty ""brak papieru"")";Pełna obsługa informatyczna dla Twojej firmy.;"<p>Czyszczenie czujników papieru (Usuwa fałszywe komunikaty ""brak papieru"")</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>";80 / 130 / 170;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;Regulacja prowadnic i rolek rejestracji papieru (Wyrównuje tor papieru, zmniejsza zaciągnięcia);Pełna obsługa informatyczna dla Twojej firmy.;<p>Regulacja prowadnic i rolek rejestracji papieru (Wyrównuje tor papieru, zmniejsza zaciągnięcia)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;90 / 140 / 180;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Mechanizm poboru papieru, rolki, separatory;Naprawa mechanizmu poboru papieru (Usuwa poślizgi i blokady);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa mechanizmu poboru papieru (Usuwa poślizgi i blokady)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;100 / 150 / 200;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Czyszczenie i smarowanie prowadnic karetki (Usuwa szarpanie i hałas);Pełna obsługa informatyczna dla Twojej firmy.;<p>Czyszczenie i smarowanie prowadnic karetki (Usuwa szarpanie i hałas)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;80 / 130 / 170;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;"Wymiana paska napędowego karetki (Usuwa ""zgrzytanie"")";Pełna obsługa informatyczna dla Twojej firmy.;"<p>Wymiana paska napędowego karetki (Usuwa ""zgrzytanie"")</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>";120 / 170 / 220;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Czyszczenie / wymiana taśmy enkodera (Usuwa przesunięcia i cienie);Pełna obsługa informatyczna dla Twojej firmy.;<p>Czyszczenie / wymiana taśmy enkodera (Usuwa przesunięcia i cienie)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;100 / 150 / 200;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Karetka i napęd;Naprawa silnika karetki / mechanizmu przesuwu (Drukarka nie przesuwa głowicy);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa silnika karetki / mechanizmu przesuwu (Drukarka nie przesuwa głowicy)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;140 / 200 / 260;1-5 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Udrażnianie głowicy drukującej (Usuwa przerwy w druku);Pełna obsługa informatyczna dla Twojej firmy.;<p>Udrażnianie głowicy drukującej (Usuwa przerwy w druku)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;120 / 170 / 220;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Płukanie i odpowietrzanie układu tuszu (Zapobiega bąbelkom);Pełna obsługa informatyczna dla Twojej firmy.;<p>Płukanie i odpowietrzanie układu tuszu (Zapobiega bąbelkom)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;130 / 180 / 230;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Wymiana głowicy drukującej (Gdy udrażnianie nie pomaga);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana głowicy drukującej (Gdy udrażnianie nie pomaga)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;120 / 170 / 220;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Serwis stacji serwisowej (Czyści głowicę);Pełna obsługa informatyczna dla Twojej firmy.;<p>Serwis stacji serwisowej (Czyści głowicę)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;120 / 170 / 220;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;Reset blokad serwisowych (Odblokowuje drukarkę);Pełna obsługa informatyczna dla Twojej firmy.;<p>Reset blokad serwisowych (Odblokowuje drukarkę)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;80 / 120 / 160;1 dzień;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Głowica drukująca i układ tuszu;"Czyszczenie/wymiana pochłaniacza tuszu (""Pampersy - gąbki"")";Pełna obsługa informatyczna dla Twojej firmy.;"<p>Czyszczenie/wymiana pochłaniacza tuszu (""Pampersy - gąbki"")</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>";80 / 120 / 160;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa lub wymiana gniazda USB / LAN (Drukarka niewidoczna);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa lub wymiana gniazda USB / LAN (Drukarka niewidoczna)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;90 / 130 / 170;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Wymiana panelu sterowania (Uszkodzony wyświetlacz);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana panelu sterowania (Uszkodzony wyświetlacz)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;140 / 200 / 260;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa lub wymiana taśm sygnałowych (Brak komunikacji);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa lub wymiana taśm sygnałowych (Brak komunikacji)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;70 / 110 / 150;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa zasilacza (Drukarka się nie włącza);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa zasilacza (Drukarka się nie włącza)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;150 / 200 / 250;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Naprawa płyty głównej (Błędy systemowe);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa płyty głównej (Błędy systemowe)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;160 / 220 / 280;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Wymiana płyty głównej (Gdy naprawa nieopłacalna);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana płyty głównej (Gdy naprawa nieopłacalna)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;140 / 200 / 260;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Naprawy elektroniczne;Wymiana czujników (Drukarka nie widzi papieru);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana czujników (Drukarka nie widzi papieru)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;100 / 150 / 200;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Czyszczenie szyby skanera (Usuwa smugi);Pełna obsługa informatyczna dla Twojej firmy.;<p>Czyszczenie szyby skanera (Usuwa smugi)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;70 / 110 / 150;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Kalibracja skanera (Poprawia ostrość);Pełna obsługa informatyczna dla Twojej firmy.;<p>Kalibracja skanera (Poprawia ostrość)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;60 / 90 / 120;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Czyszczenie czujników skanera (Usuwa pasy);Pełna obsługa informatyczna dla Twojej firmy.;<p>Czyszczenie czujników skanera (Usuwa pasy)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;70 / 110 / 150;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana lampy skanera (Równomierne oświetlenie);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana lampy skanera (Równomierne oświetlenie)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;120 / 170 / 220;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana przewodu skanera (Usuwa przerwy);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana przewodu skanera (Usuwa przerwy)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;120 / 170 / 220;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Naprawa zawiasów pokrywy (Stabilizuje docisk);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa zawiasów pokrywy (Stabilizuje docisk)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;90 / 140 / 190;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Czyszczenie rolek ADF (Usuwa poślizgi);Pełna obsługa informatyczna dla Twojej firmy.;<p>Czyszczenie rolek ADF (Usuwa poślizgi)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;80 / 120 / 160;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana rolek ADF (Zmniejsza zaciągnięcia);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana rolek ADF (Zmniejsza zaciągnięcia)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;120 / 170 / 220;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Czyszczenie toru ADF (Usuwa zaciągnięcia);Pełna obsługa informatyczna dla Twojej firmy.;<p>Czyszczenie toru ADF (Usuwa zaciągnięcia)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;80 / 120 / 160;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Kalibracja ADF (Wyrównuje skos);Pełna obsługa informatyczna dla Twojej firmy.;<p>Kalibracja ADF (Wyrównuje skos)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;70 / 110 / 150;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Naprawa czujników ADF (Usuwa błędy);Pełna obsługa informatyczna dla Twojej firmy.;<p>Naprawa czujników ADF (Usuwa błędy)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;90 / 140 / 190;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana paska ADF (Przywraca płynny ruch);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana paska ADF (Przywraca płynny ruch)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;140 / 190 / 240;1-3 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Diagnostyka CIS/CCD (Weryfikacja modułu);Pełna obsługa informatyczna dla Twojej firmy.;<p>Diagnostyka CIS/CCD (Weryfikacja modułu)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;60 / 90 / 120;1 dzień;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana modułu CIS/CCD (Przywraca jakość);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana modułu CIS/CCD (Przywraca jakość)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;220 / 290 / 360;2-5 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Skaner / ADF;Wymiana szkła skanera (Gdy pęknięte);Pełna obsługa informatyczna dla Twojej firmy.;<p>Wymiana szkła skanera (Gdy pęknięte)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;150 / 200 / 250;2-5 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Instalacja sterowników (Konfiguracja sieci);Pełna obsługa informatyczna dla Twojej firmy.;<p>Instalacja sterowników (Konfiguracja sieci)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;50 / 100 / 150;1-2 dni;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Instalacja aplikacji mobilnych (Drukowanie ze smartfona);Pełna obsługa informatyczna dla Twojej firmy.;<p>Instalacja aplikacji mobilnych (Drukowanie ze smartfona)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;50 / 80 / 110;1 dzień;;
Outsourcing IT;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie i konfiguracja;Aktualizacja firmware (Usuwa błędy);Pełna obsługa informatyczna dla Twojej firmy.;<p>Aktualizacja firmware (Usuwa błędy)</p><br><p>Pełna obsługa informatyczna dla Twojej firmy.</p>;80 / 120 / 160;1-2 dni;;
